iter	MultiClass
0	2.07740667
1	1.952073628
2	1.845926714
3	1.751290639
4	1.69343505
5	1.634329637
6	1.580384257
7	1.541194404
8	1.487715409
9	1.446679098
10	1.415568249
11	1.391365378
12	1.368262217
13	1.349256372
14	1.334026268
15	1.320976327
16	1.308861874
17	1.294668088
18	1.273956258
19	1.264731778
20	1.247230927
21	1.234877425
22	1.226789768
23	1.21269918
24	1.198699394
25	1.185609903
26	1.174075681
27	1.16890158
28	1.153615118
29	1.144545484
30	1.134973128
31	1.124995562
32	1.119350104
33	1.110590277
34	1.099371279
35	1.09428724
36	1.084434652
37	1.073383544
38	1.064905047
39	1.061614152
40	1.058921708
41	1.054151181
42	1.051205066
43	1.045103227
44	1.038473704
45	1.035969678
46	1.031449432
47	1.024572651
48	1.021422703
49	1.017877578
50	1.012012269
51	1.008769669
52	1.008074551
53	1.003723539
54	0.9996637885
55	0.9953152137
56	0.9909819045
57	0.985169689
58	0.9781686742
59	0.9742766384
60	0.9688703916
61	0.9657652111
62	0.9602505893
63	0.9576704771
64	0.9540926753
65	0.9490790227
66	0.9440223738
67	0.9397112727
68	0.9385307123
69	0.9362979694
70	0.9327326222
71	0.930334522
72	0.9276237169
73	0.9221036563
74	0.9199080694
75	0.9174325255
76	0.9133368521
77	0.9084715977
78	0.9056085529
79	0.9030097458
80	0.8981851579
81	0.8957566705
82	0.8923503829
83	0.8890447629
84	0.8871584679
85	0.884496011
86	0.8813610668
87	0.8786772527
88	0.8762263784
89	0.8740726181
90	0.8694973333
91	0.8671324747
92	0.8635341203
93	0.8618023983
94	0.8591930266
95	0.8561063633
96	0.8535609183
97	0.8515582339
98	0.8478091075
99	0.8450698809
100	0.8435364737
101	0.8395947696
102	0.837578015
103	0.8349907649
104	0.8335094486
105	0.8316817782
106	0.8297830952
107	0.82757628
108	0.8251529457
109	0.8235452128
110	0.8223877462
111	0.819377649
112	0.8181507726
113	0.8158487128
114	0.8142887447
115	0.8129258923
116	0.8117967106
117	0.8091965085
118	0.8077283385
119	0.8056460715
120	0.8043323782
121	0.8039307449
122	0.8019077608
123	0.8005196461
124	0.7993608935
125	0.7978984105
126	0.7973414711
127	0.7960290555
128	0.7945910106
129	0.7928988693
130	0.7908697891
131	0.7890428915
132	0.7865898279
133	0.7858267559
134	0.7844577505
135	0.7836230912
136	0.7812371535
137	0.7797283213
138	0.7786784874
139	0.7766161822
140	0.7758463045
141	0.7740156721
142	0.7728403398
143	0.7723323869
144	0.7706208946
145	0.7694408444
146	0.7686601807
147	0.7672516951
148	0.7665365028
149	0.7642443876
150	0.7626239814
151	0.7611652552
152	0.7599799383
153	0.7589974014
154	0.7567618664
155	0.7557903324
156	0.7532501872
157	0.7516604337
158	0.7505705604
159	0.749568142
160	0.7484492482
161	0.7476767181
162	0.7466909134
163	0.7465937756
164	0.7459624962
165	0.7453118857
166	0.7442574344
167	0.7425321159
168	0.7411362225
169	0.7403551305
170	0.7394121158
171	0.7385487634
172	0.738031031
173	0.7368165138
174	0.7354922871
175	0.7341506247
176	0.733130297
177	0.7322084828
178	0.7312577464
179	0.7307795218
180	0.7300772179
181	0.7290368291
182	0.7280741763
183	0.7259814518
184	0.7248117513
185	0.724150547
186	0.7232600979
187	0.7217356135
188	0.7213650806
189	0.7202052531
190	0.7193314166
191	0.7187558421
192	0.7173172503
193	0.7166687204
194	0.7159878122
195	0.715054991
196	0.7142300225
197	0.7133435723
198	0.7123139165
199	0.7112145998
200	0.7102933618
201	0.7095298576
202	0.7087210217
203	0.7080250469
204	0.7070221049
205	0.706327084
206	0.7057661973
207	0.7054729004
208	0.7047844106
209	0.7043053773
210	0.7037087048
211	0.703046509
212	0.7022542868
213	0.7014143344
214	0.7005444848
215	0.6997494348
216	0.6992961178
217	0.6985108768
218	0.6978624352
219	0.6973922218
220	0.696464597
221	0.6957319642
222	0.6951214314
223	0.6945851778
224	0.6933278812
225	0.6927253757
226	0.6920232381
227	0.6914637169
228	0.6906064439
229	0.6902101767
230	0.689815993
231	0.6887754449
232	0.6884212449
233	0.6874793468
234	0.6869419303
235	0.6861861132
236	0.6854171478
237	0.6843702168
238	0.6840206443
239	0.6835410087
240	0.6829336767
241	0.6823161085
242	0.6814274744
243	0.6808702787
244	0.6802540713
245	0.6797158457
246	0.6793522958
247	0.6789192345
248	0.6781186727
249	0.6777117866
250	0.6773913565
251	0.6767858604
252	0.6759201165
253	0.6750360359
254	0.6744528346
255	0.674055393
256	0.6736585425
257	0.673417865
258	0.6725060266
259	0.6720133328
260	0.6714193172
261	0.6711840617
262	0.6704965822
263	0.6695107502
264	0.669241149
265	0.6684775758
266	0.66790147
267	0.6673188153
268	0.6668506477
269	0.6665131747
270	0.6657185672
271	0.6649925435
272	0.6644924379
273	0.6641156642
274	0.6629295367
275	0.661931638
276	0.6615904555
277	0.661226173
278	0.6608547715
279	0.6605166989
280	0.6599648551
281	0.6595508332
282	0.6588598287
283	0.6582076702
284	0.6580461208
285	0.6575295715
286	0.6571257743
287	0.6563544202
288	0.6562269637
289	0.6556631388
290	0.6552227083
291	0.6547132494
292	0.6540051563
293	0.6536984638
294	0.6530110546
295	0.6525550413
296	0.6523410787
297	0.65187928
298	0.6516518272
299	0.6511478544
300	0.6507684603
301	0.650070377
302	0.6496143446
303	0.6493468487
304	0.6484370063
305	0.6479925724
306	0.6475798258
307	0.6471438859
308	0.6465679557
309	0.6460756303
310	0.6455938538
311	0.6452359716
312	0.6449643507
313	0.6443261624
314	0.6439172956
315	0.6435309245
316	0.6432632994
317	0.6428911188
318	0.6424297459
319	0.6420903813
320	0.6418546762
321	0.6412011092
322	0.6405813582
323	0.6402174775
324	0.6396684318
325	0.6392791567
326	0.6388376995
327	0.638592594
328	0.6380375163
329	0.6377376723
330	0.6371440656
331	0.6363270732
332	0.6360006894
333	0.6355031886
334	0.6347172103
335	0.6342159985
336	0.6338924566
337	0.6335479981
338	0.6331773535
339	0.6327602811
340	0.6322703772
341	0.63198429
342	0.6311518761
343	0.63071333
344	0.6303880535
345	0.6301784629
346	0.6299199589
347	0.6295188109
348	0.6291835593
349	0.6288378222
350	0.6286991299
351	0.6285222163
352	0.6282122409
353	0.6279878854
354	0.6276615135
355	0.6270286208
356	0.626410376
357	0.6259696929
358	0.6254953534
359	0.6250790038
360	0.6247597002
361	0.6245152497
362	0.6240218403
363	0.6231010253
364	0.6225033008
365	0.6222142344
366	0.6219857239
367	0.6216241542
368	0.621308245
369	0.621056879
370	0.6206899851
371	0.6202623385
372	0.620050463
373	0.6198324811
374	0.6194272299
375	0.6189525924
376	0.618338659
377	0.6181200923
378	0.6175639356
379	0.6170457057
380	0.6166824936
381	0.6163435221
382	0.6159053384
383	0.6153471801
384	0.6148199264
385	0.6143994579
386	0.6139087218
387	0.6136856382
388	0.6135172436
389	0.6130005078
390	0.6126496012
391	0.6121984395
392	0.6117490251
393	0.6115430943
394	0.6112661584
395	0.6104532539
396	0.6100838926
397	0.6098371996
398	0.6096270672
399	0.6090870218
400	0.6088528513
401	0.6081818841
402	0.6079841152
403	0.6076984029
404	0.6072870622
405	0.6070806521
406	0.6069509804
407	0.6065960659
408	0.6063234302
409	0.6055308368
410	0.605417241
411	0.6051862721
412	0.604814529
413	0.6047208649
414	0.6043838903
415	0.6039092732
416	0.6034951128
417	0.6030256215
418	0.602841074
419	0.6026783314
420	0.6019348663
421	0.6016829169
422	0.6014998704
423	0.6010148514
424	0.6007640365
425	0.6005519984
426	0.6001549122
427	0.599874591
428	0.5997097338
429	0.5993289783
430	0.5989643603
431	0.5985953714
432	0.5984169986
433	0.5982789142
434	0.5979203779
435	0.5976823467
436	0.5975258976
437	0.5970056178
438	0.5963285117
439	0.5960638737
440	0.595707617
441	0.5956115071
442	0.5951387671
443	0.5946747671
444	0.594277339
445	0.5939131531
446	0.5937927247
447	0.5932266386
448	0.5930522097
449	0.5927124217
450	0.5923655676
451	0.5922179672
452	0.5917741962
453	0.5913192518
454	0.5912023763
455	0.5909451285
456	0.5905504743
457	0.5903355538
458	0.5900192478
459	0.5897945205
460	0.5893977185
461	0.5892276663
462	0.5890412566
463	0.5882589381
464	0.5880071025
465	0.5875424675
466	0.5871956511
467	0.5869373744
468	0.5866760984
469	0.5863580993
470	0.5860938436
471	0.5858106022
472	0.5856115712
473	0.5851308777
474	0.5849606661
475	0.5846895659
476	0.5844242883
477	0.5841582046
478	0.5835711269
479	0.5832312708
480	0.582959279
481	0.58256379
482	0.5823697263
483	0.5821188324
484	0.5819445397
485	0.5816575087
486	0.5813929779
487	0.5810747858
488	0.5809035697
489	0.5806911879
490	0.5803828872
491	0.5800963613
492	0.5798296132
493	0.5796434585
494	0.5793697139
495	0.5791884969
496	0.5789586333
497	0.5784022471
498	0.5779387543
499	0.5778010397
500	0.5775924831
501	0.5773179534
502	0.5771782382
503	0.5768631098
504	0.5765916602
505	0.5764406213
506	0.5762169968
507	0.576007885
508	0.5758016726
509	0.5755734055
510	0.5754110176
511	0.5750325895
512	0.5746450032
513	0.5742106584
514	0.5740793112
515	0.5739536008
516	0.5736998734
517	0.573468275
518	0.573284917
519	0.5730135088
520	0.5727699575
521	0.5726732625
522	0.5725237525
523	0.5721715525
524	0.5719530708
525	0.5715396633
526	0.5711071131
527	0.5709113654
528	0.5707899749
529	0.5705162028
530	0.570153539
531	0.5699519939
532	0.5696521513
533	0.5695025358
534	0.5693679941
535	0.5689930113
536	0.5688465118
537	0.5685163376
538	0.5684652113
539	0.5682162174
540	0.5679383727
541	0.5677593456
542	0.5675828047
543	0.5674210202
544	0.5672028147
545	0.5669789315
546	0.5668330864
547	0.5666919926
548	0.5664830276
549	0.5662449134
550	0.5658939263
551	0.5656166622
552	0.565420844
553	0.5652753266
554	0.5650992336
555	0.5648455155
556	0.5647113287
557	0.5645638961
558	0.5643445195
559	0.5641758408
560	0.5640291554
561	0.5638026968
562	0.5636560984
563	0.5633284656
564	0.5631304803
565	0.5629998095
566	0.5628214861
567	0.5626384303
568	0.5624633173
569	0.5623044289
570	0.5621169767
571	0.5616728259
572	0.5613468255
573	0.5611615448
574	0.5609430824
575	0.5606972037
576	0.56027401
577	0.5599946542
578	0.5598271715
579	0.5597424417
580	0.5596764451
581	0.5594581701
582	0.5590989891
583	0.5590111125
584	0.5588180057
585	0.5585716551
586	0.5581684954
587	0.557974486
588	0.557830908
589	0.5576927078
590	0.557512465
591	0.557318742
592	0.557228759
593	0.5569703197
594	0.5568496812
595	0.5563499506
596	0.5562273656
597	0.5560119638
598	0.5557783739
599	0.5555342237
600	0.555378604
601	0.5552139637
602	0.5548834591
603	0.5547709495
604	0.5544689576
605	0.5540128205
606	0.5538507762
607	0.5535335534
608	0.5534285387
609	0.5531569461
610	0.5529936409
611	0.5528278774
612	0.5526689596
613	0.5523715033
614	0.5521857284
615	0.552066096
616	0.5517253926
617	0.5515552673
618	0.5514921827
619	0.5513062602
620	0.5509862297
621	0.5507607594
622	0.5505810701
623	0.5505044909
624	0.5501460602
625	0.5499939023
626	0.5498700911
627	0.5494751082
628	0.5492117856
629	0.5490180611
630	0.5486966107
631	0.5485233036
632	0.54830235
633	0.5480805729
634	0.5478033645
635	0.5476582965
636	0.5473629852
637	0.5469550622
638	0.5467191838
639	0.5465414769
640	0.5464547106
641	0.5462616543
642	0.5461403052
643	0.5459305842
644	0.5457979955
645	0.5456915757
646	0.5455021769
647	0.5452934369
648	0.5451894191
649	0.5450132272
650	0.5445914579
651	0.5443536722
652	0.544220916
653	0.5439433652
654	0.5437918408
655	0.5436352488
656	0.5434683369
657	0.5434059639
658	0.5433314909
659	0.5431859474
660	0.5429299104
661	0.5425854345
662	0.5423687504
663	0.5421639934
664	0.5420805958
665	0.5418963012
666	0.5416050067
667	0.5413927221
668	0.5412949874
669	0.5412376788
670	0.5410798974
671	0.5408494485
672	0.5406210406
673	0.540448688
674	0.5402593422
675	0.5399008348
676	0.5397660577
677	0.5396956128
678	0.5396302598
679	0.5395625625
680	0.5393847167
681	0.5392863513
682	0.5392235744
683	0.5391104999
684	0.5388755644
685	0.538746882
686	0.5386265128
687	0.5385511605
688	0.5381852357
689	0.5380411188
690	0.5376953596
691	0.5375200371
692	0.5373616564
693	0.5372717175
694	0.537125069
695	0.5370036257
696	0.5368120273
697	0.5366025155
698	0.5365001535
699	0.5362751264
700	0.5362009926
701	0.5358580291
702	0.5357452052
703	0.5356248246
704	0.5354700628
705	0.5352484831
706	0.5350777046
707	0.5349656433
708	0.5348237927
709	0.5347184329
710	0.5344963672
711	0.534422916
712	0.5341709657
713	0.5338276934
714	0.5336938446
715	0.5335841401
716	0.5334830799
717	0.5333044051
718	0.5332151937
719	0.5331145166
720	0.5330284905
721	0.532857934
722	0.5327012658
723	0.5322941156
724	0.5320909881
725	0.5318906191
